node_id,betweenness_count,balance(millisat)
719,1134,246529500
9602,1133,4351148500
1798,1133,173324000
69,1133,250000000
1601,1132,120859500
1600,1132,3394043500
1323,1132,170000000
728,1132,225000000
625,1132,306831259000
106,1132,25000000
1609,1130,25030844000
1161,1130,84581057500
886,1130,1000000000
71,1130,5243536000
552,1129,375000000
1962,1128,1297427000
139,1128,353157674500
1732,1127,40954500
1379,1126,25723633500
1083,1126,175019000
1776,1125,996463500
1718,1125,2142017000
1311,1125,107592449500
1064,1125,58432000
4522,1123,10715000000
1276,1123,1760000000
1693,1122,33612500
1613,1121,213173000
859,1121,150566000
2000,1120,824662000
1428,1120,91200000
997,1120,749721000
493,1120,117025049000
1277,1119,70391007500
559,1119,4500000000
553,1119,9643328000
1429,1118,550000000
521,1118,195936500
267,1118,90927939500
215,1118,219683000
650,1117,50000000
104,1117,139607000
970,1116,25000000
678,1116,298769000
672,1116,500000000
1781,1115,25000000
1063,1115,50000000
1442,1114,10000000000
1284,1114,722689500
881,1114,102451000
262,1114,55799786000
1298,1112,397826000
651,1112,100000000
1030,1111,249750000
884,1111,500000000
1282,1110,35000000
874,1109,50000000
617,1109,200000000
885,1108,135000000
485,1107,197168000
1961,1106,752063500
1168,1106,72723695500
1295,1105,166247500
578,1105,125000000
1360,1104,100000000
1374,1103,1270000000
1121,1103,3835844500
978,1103,100000000
152,1103,1375000000
138,1102,1713063500
1460,1101,2632224000
1443,1101,11640000000
1209,1101,46645000
1093,1101,232930000
390,1101,30801485000
365,1101,40396500
14966,1100,1000000000
1652,1100,130121500
1632,1100,199165500
1219,1100,3970878000
18078,1099,5050000000
11984,1098,25000000
1827,1098,1944725500
86,1098,600000000
1285,1097,194257500
934,1097,200919000
306,1097,50000000
1728,1096,115829500
1377,1096,147538500
494,1096,5423266500
14967,1095,2572772500
1402,1095,3750000000
658,1095,23806784500
1664,1093,78329000
1341,1093,105000000
1148,1093,243779000
665,1093,500000000
479,1093,192271000
169,1093,8221765000
1892,1092,386600000
1654,1092,23063500
1403,1092,700000000
1162,1092,1881841500
488,1092,150000000
233,1092,261995500
1893,1091,2720114500
1496,1091,30000000
1119,1091,4269660500
811,1091,150000000
891,1090,647214500
882,1090,2787406500
1700,1089,100000000
1461,1089,1976887500
1062,1089,25000000
1254,1088,828551000
220,1088,4107131500
601,1086,1189386000
157,1086,14775950500
888,1085,110074500
798,1085,125000000
624,1085,8319591500
386,1085,100000000
226,1085,338973500
1480,1084,1500000000
774,1084,50000000
490,1084,17027784500
1674,1083,2255736000
1315,1083,290686204500
1275,1083,805542500
227,1082,820000000
1257,1081,1153435000
616,1081,32979603500
610,1081,140000000
34,1081,46852931500
1748,1080,94750000
1587,1080,67757500
1378,1080,1415437000
18076,1079,988509000
820,1079,242500000
1525,1078,62555000
799,1078,50000000
474,1077,198081642500
222,1077,1000000000
313,1076,17753863500
1763,1074,34381805500
883,1074,183574000
183,1074,61467244500
1483,1073,25469081500
1267,1073,196794000
263,1073,19804057500
1942,1072,168362500
1310,1072,162717000
266,1072,1087702336500
1904,1071,2778835500
1878,1071,11000000000
1768,1071,3000000000
759,1071,525000000
1775,1070,300683000
1299,1070,1723551500
795,1070,46584554000
508,1070,8125485500
119,1070,36128815500
1214,1069,950000000
1065,1069,106776500
391,1069,250000000
373,1069,273614000
182,1069,619793000
334,1068,2250000000
264,1068,32650607500
1985,1067,6986651000
1048,1067,421355500
1440,1066,637300000
1364,1066,2676587674500
989,1065,4887882500
189,1065,125000000
1624,1064,1096986500
289,1064,199766000
1722,1063,148919000
95,1062,55114500
1651,1061,28793500
1357,1061,32350000000
565,1061,183987000
554,1061,18761749500
232,1061,1000000000
1815,1060,120688500
788,1060,289979109000
30,1060,97641812000
1767,1058,247733000
1294,1058,425000000
405,1058,262084314000
128,1058,52320000
1541,1057,2949482000
376,1057,1335874000
31,1057,9432732500
407,1056,499644500
254,1056,7587679500
97,1056,20000000
1005,1055,649976000
206,1055,19131792000
1615,1054,989233500
1010,1054,29714500
1588,1053,12437479000
1373,1053,532890000
810,1053,248271500
162,1053,216915000
1376,1052,250000000
889,1052,100000000
35,1052,2251817158500
1101,1051,700000000
471,1051,29016739000
401,1051,2545000000
377,1051,1985771000
1910,1050,149013500
1026,1050,1250000000
857,1048,125000000
1911,1047,1300000000
184,1047,154214171500
1113,1046,4513000000
903,1046,2007866500
406,1046,8385940500
1160,1045,180000000
12551,1044,1750000000
4535,1044,245000000
1261,1044,1125000000
657,1044,326206500
1945,1043,3015623000
1778,1043,3544993500
887,1043,1000000000
18099,1042,600000000
1524,1042,46803500
656,1042,750000000
42,1042,15959154000
916,1041,1234533500
824,1041,2498470500
491,1041,1049439000
1229,1040,3846571500
1723,1039,1000000000
1372,1039,4848210500
1772,1038,380939500
1905,1037,3648510500
1439,1037,998429500
1279,1037,600000000
486,1037,9688161500
1933,1036,154185286500
1365,1036,196802500
1701,1035,501073500
1679,1035,18220922000
1228,1035,689856000
404,1035,7820561500
11985,1034,25000000
11042,1034,4000000000
1813,1033,552716000
1218,1033,250000000
979,1033,15500000000
38,1033,142307366500
988,1032,100000000
1895,1031,4755812000
1092,1031,35000000
295,1031,548257000
68,1031,25000000
1256,1030,150000000
866,1030,796384000
11548,1029,25000000
1818,1029,29020063000
673,1029,50000000
160,1029,285568500
37,1029,18488000
1672,1028,584041500
1512,1028,3088348500
1380,1028,22250000000
863,1028,50000000
870,1027,2403380500
356,1027,348719000
188,1027,55580000
608,1026,749576000
1796,1025,297840000
1375,1025,145212000
12587,1024,6132088500
1977,1024,72524109000
1024,1024,7624962500
640,1024,13506106000
163,1024,313835500
1441,1023,139643500
1097,1023,2437508500
478,1023,187842000
437,1023,3316027000
1870,1022,41854269000
1356,1022,195000000
935,1022,350000000
797,1022,15184000
15462,1021,300000000
1489,1021,9514125000
1822,1019,9324559500
1766,1019,287827000
1488,1019,88181000
564,1019,192490500
450,1019,1098768000
312,1019,40000000
234,1019,1057619714000
936,1018,19213500
6072,1017,150000000
3253,1017,15542955500
1156,1017,462676000
337,1017,52467862500
1771,1016,6500000000
1749,1016,48222500
583,1016,646488500
1814,1015,159212500
1473,1015,53704281000
1203,1015,191847500
11203,1013,1000000000
1744,1013,4880592457000
1631,1013,326976000
1003,1013,1332655500
898,1013,3244593500
671,1013,1374426665500
168,1013,9759107500
1653,1012,50000000
1582,1012,1071266500
917,1012,100000000
567,1012,50000000
1849,1011,3045000000
1608,1011,50000000
1409,1011,491155000
1149,1011,176595500
484,1011,19275433000
14744,1010,43389710000
660,1010,125000000
1934,1009,25000000
1850,1009,29568333000
1157,1009,3050000000
1743,1008,2803462500
1059,1008,68695500
339,1007,50000000
793,1006,4500000000
714,1006,188622500
548,1006,500000000
1027,1005,50000000
1006,1005,1200000000
1727,1004,1510000000
1565,1004,1737002500
909,1004,23140000000
39,1004,6443328000
1871,1003,694738500
1340,1003,500000000
1313,1003,250000000
1049,1003,62500000
807,1003,89045595500
890,1002,34781227000
667,1002,7233634000
630,1002,50000000
750,1001,63775500
530,1001,582117500
209,1001,3823661009500
1249,1000,113948500
1004,1000,50000000
689,1000,10849574500
291,1000,2362500000
1680,999,22940000
1639,999,48891440000
1413,999,3326518500
1045,999,1600000000
852,999,91927500
848,999,291708000
465,999,9865007500
221,999,50000000
20,999,119497395500
2,999,64154041000
1954,998,50000000
1891,998,1422500000
1558,998,26573395500
77,998,13842550500
1676,997,169335831000
1462,997,2000000000
589,997,4500000000
372,997,500000000
1888,996,10437643500
1864,996,22693066500
1819,996,60637220000
929,996,17126623000
654,996,1010000000
16750,995,90000000
1804,995,32215691000
1765,995,14000000
1645,995,151489000
926,995,12161748000
224,995,979933000
199,995,114968748000
14412,994,25000000
1573,994,360000000
604,994,162492500
290,994,1533198000
44,994,26027495500
395,993,5024259500
250,993,81129327500
1726,992,2440000000
1719,992,150000000
1546,992,43356750000
1369,992,148989000
977,992,93108333000
928,992,1202708000
609,992,125000000
161,992,500000000
1937,991,4756031000
679,991,538982500
18,990,14540338000
1658,989,7540002500
1445,989,50000000
1345,989,2158157000
1296,989,31588477500
1266,989,26700000
1118,989,50000000
242,989,1838959573000
1817,988,10500000000
830,988,10578827500
659,988,233424000
400,988,275000000
674,987,148576250500
495,987,40000000
1970,986,202895058500
1395,986,1449533500
808,986,440088515000
212,986,10986452000
102,986,14591000
1968,985,4506269500
1555,985,44518205000
14413,984,2075816000
1595,984,268056000
476,984,197977000
384,984,1226738500
383,984,5595000000
1625,983,45000000
1479,983,12500000
1031,983,100000000
950,983,248120500
829,983,1000000000
742,983,100583500
286,983,136816000
1670,982,849821500
1368,982,431889000
1689,981,1197328500
1367,981,27765000
1169,981,4855368500
1074,981,500000000
443,981,10459616500
1572,980,250000000
1314,980,250000000
1239,980,5076283500
1787,978,87230099500
1559,978,2234844500
76,978,77414500
1618,977,50000000
1499,977,224853500
1598,976,345000000
1238,976,15260987500
1201,976,1825000000
1163,976,35000000
470,976,500000000
409,976,17928000
1274,975,222010000
1987,974,37458000
1882,974,200000000
1217,974,100000000
1437,973,1416986000
1283,973,24017500
751,973,250000000
418,973,1000000000
1932,972,2856747500
1542,972,282325000
1312,972,55320000
828,972,1492071000
726,972,300000000
655,972,5250000000
148,972,131732000
1350,971,300000000
1033,971,39592124000
1018,971,5242189384000
948,971,55632434500
872,971,363306500
821,971,37500000
307,971,50000000
18098,970,550000000
1465,970,400256500
1262,970,1000000000
1216,970,500000000
251,970,1578277858500
677,969,664055000
619,969,700000000
1745,968,3309003000
1675,968,50000000
722,968,35000000
361,968,92700000
324,968,4229570500
1887,967,1381420000
1971,966,650000000
1838,966,43497844500
1424,966,10021794000
1255,966,361276000
908,966,327979500
906,966,36377713000
899,966,784097000
446,966,27693927500
1805,965,2383102000
1579,965,649468000
1215,965,115871000
1082,965,2000000000
892,965,89675500
475,965,1661666500
1839,964,350000000
1711,964,34860000
1707,964,46295956500
1516,964,51468927000
1487,964,50000000
1454,964,1250000000
