id,short_channel_id
142,551484x1319x1
143,551513x1014x0
144,551538x1681x0
145,551542x573x0
146,551551x1150x1
147,551585x1298x0
148,551618x1890x0
149,551646x1653x0
150,551755x2576x0
151,551794x1563x0
152,551812x1457x0
153,551830x1125x0
154,551873x1931x0
155,551882x2271x0
156,551884x1073x0
157,551975x469x1
158,552076x642x1
159,552402x925x1
160,552489x844x1
161,552660x1421x1
162,552660x1775x0
163,552752x1334x0
164,552960x1823x0
165,553178x1671x0
166,553466x1939x0
167,553707x1572x0
168,554391x342x1
169,554761x1649x1
170,554829x1236x0
171,554871x684x0
172,554977x1069x1
173,555331x963x0
174,555428x1839x1
175,555887x1104x1
176,556245x2083x1
177,556344x149x1
178,556438x1325x1
179,556465x595x1
180,556568x1706x1
181,556582x990x0
182,556607x867x0
183,556625x1424x0
184,556723x1040x0
185,556793x1117x1
186,556816x1871x1
187,556816x1902x0
188,556817x922x1
189,556818x776x0
190,556863x2675x0
191,556890x1770x0
192,556899x1998x1
193,556900x3317x0
194,556907x1220x0
195,556954x2603x0
196,557001x1564x0
197,557036x411x1
198,557230x1998x0
199,557365x926x0
200,557498x603x1
201,557499x2209x0
202,557622x1848x0
203,557641x1458x1
204,557664x613x0
205,557674x1262x0
206,557731x2065x0
207,557746x1167x0
208,558134x2124x0
209,558141x1091x0
210,558153x1204x0
211,558200x128x0
212,558256x2573x0
213,558282x2195x1
214,558323x1688x1
215,558333x1932x1
216,558350x1983x0
217,558384x1863x1
218,558450x420x1
219,558463x1344x1
220,558523x1917x0
221,558523x1923x0
222,558525x1593x1
223,558547x1183x0
224,558549x366x1
225,558555x590x1
226,558555x615x0
227,558556x900x1
228,558556x2412x1
229,558557x575x1
230,558559x949x1
231,558559x1012x1
232,558562x375x1
233,558562x424x1
234,558562x461x0
235,558562x475x1
236,558564x1857x1
237,558565x1767x1
238,558565x1796x1
239,558568x504x0
240,558569x1617x1
241,558572x1015x1
242,558573x990x1
243,558577x633x1
244,558577x903x0
245,558656x1063x0
246,558665x2381x1
247,558747x1074x0
248,558750x482x0
249,558753x2507x0
250,558765x1023x0
251,558802x1134x0
252,558816x945x0
253,558902x451x0
254,558916x1943x1
255,558950x1817x0
256,558998x2424x0
257,559009x2073x0
258,559011x2514x0
259,559078x2220x0
260,559087x1284x1
261,559117x2602x0
262,559121x2747x0
263,559170x299x1
264,559174x1005x1
265,559227x193x1
266,559296x549x1
267,559486x1160x0
268,559486x1472x0
269,559486x1475x1
270,559492x2857x0
271,559494x2566x0
272,559507x938x0
273,559529x1398x1
274,559533x471x1
275,559536x1820x1
276,559581x2147x0
277,559587x357x1
278,559644x1704x0
279,559650x2371x0
280,559651x2832x0
281,559717x971x0
282,559718x1325x0
283,559741x2127x0
284,559847x2153x0
285,559869x2489x0
286,559883x586x0
287,559912x1297x0
288,559918x999x0
289,560210x2084x0
290,560398x1144x0
291,560496x1207x1
292,560530x1906x1
293,560639x2196x1
294,561004x1911x0
295,561052x749x1
296,561106x1402x1
297,561115x507x0
298,561820x1798x1
299,561835x1042x0
300,561835x1063x1
301,561835x1065x0
302,561843x1493x1
303,561889x2460x0
304,561890x886x1
305,561890x887x1
306,561892x607x1
307,561892x615x1
308,561916x1721x1
309,561930x785x1
310,562046x1799x0
311,562053x2807x0
312,562071x1548x1
313,562088x2860x0
314,562104x517x1
315,562104x520x1
316,562110x1841x1
317,562110x1848x1
318,562209x1758x0
319,562210x1995x0
320,562210x2001x0
321,562210x2025x0
322,562210x2029x0
323,562210x2030x0
324,562210x2041x0
325,562210x2069x0
326,562210x2262x0
327,562210x2264x0
328,562210x2276x0
329,562210x2277x0
330,562210x2289x0
331,562236x1003x0
332,562335x1011x1
333,562485x883x0
334,562499x1718x1
335,562521x1917x0
